사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2019091100100844,2019년 9월 11일 22시,수요일,대전광역시 유성구 장대동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,30세,상해없음,보행자,여,38세,경상
2019091100100865,2019년 9월 11일 23시,수요일,대전광역시 중구 오류동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,50세,상해없음,보행자,남,28세,경상
2019091100100868,2019년 9월 11일 23시,수요일,대전광역시 대덕구 오정동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,보행자,남,34세,경상
2019091200100031,2019년 9월 12일 00시,목요일,대전광역시 동구 가양동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승용,남,61세,상해없음,보행자,여,55세,경상
2019091200100096,2019년 9월 12일 05시,목요일,대전광역시 서구 탄방동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,보행자보호의무위반,젖음/습기,비,교차로 - 교차로횡단보도내,승용,남,56세,상해없음,보행자,여,61세,중상
2019091300100047,2019년 9월 13일 02시,금요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,기타 - 기타,승용,여,37세,상해없음,보행자,남,19세,경상
2019091300100063,2019년 9월 13일 05시,금요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,보행자,여,25세,경상
2019091300100388,2019년 9월 13일 19시,금요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,64세,상해없음,보행자,여,76세,경상
2019091400100375,2019년 9월 14일 20시,토요일,대전광역시 동구 가양동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,47세,상해없음,보행자,여,52세,경상
2019091500100061,2019년 9월 15일 03시,일요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,28세,상해없음,보행자,남,29세,경상
2019091500100289,2019년 9월 15일 16시,일요일,대전광역시 중구 선화동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,54세,기타불명,보행자,남,60세,부상신고
2019091700100324,2019년 9월 17일 12시,화요일,대전광역시 서구 월평동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,39세,상해없음,보행자,남,64세,중상
2019091700100426,2019년 9월 17일 15시,화요일,대전광역시 서구 도마동,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,건조,맑음,기타 - 기타,이륜,여,62세,상해없음,보행자,남,57세,경상
